User_ID,Customer_Name,Gender,Age,Occupation,Monthly_Income,Phone_Number,Email,Account_Number,UPI_ID,City,State,Preferred_Payment_Method,Preferred_Device,Preferred_Browser,Average_Spending,Maximum_Spending,Preferred_Transaction_Hour,Account_Creation_Date,Account_Age_Days
USR0032,Jeremiah Hari,Male,42,Freelancer,69828,9167653072,jeremiah.hari55@gmail.com,ACC8339176912,jeremiah11@pay,Delhi,Delhi,Wallet,Tablet,Firefox,3483,62694,9,2024-01-08,939
USR0033,Abha Suresh,Female,57,Government Employee,193903,3875994418,abha.suresh747@gmail.com,ACC9160639027,abha529@pay,Bangalore,Karnataka,Credit Card,MacBook,Edge,3796,53144,11,2025-06-06,424
USR0034,Ekani Bir,Male,44,Lawyer,197554,3310865406,ekani.bir640@gmail.com,ACC7739255769,ekani425@pay,Hyderabad,Telangana,Wallet,Android,Edge,2850,31350,20,2019-04-15,2668
USR0035,Triveni Varghese,Female,47,Accountant,135909,3627149556,triveni.varghese533@gmail.com,ACC5659161352,triveni537@pay,Mumbai,Maharashtra,Wallet,Windows Laptop,Chrome,7204,86448,16,2018-08-30,2896
USR0036,Aarna Choudhury,Male,30,Doctor,26402,3026218061,aarna.choudhury260@gmail.com,ACC9520940324,aarna635@pay,Chennai,Tamil Nadu,UPI,MacBook,Safari,7759,85349,19,2022-09-05,1429
USR0037,Krishna Shere,Female,43,Teacher,58684,7867268981,krishna.shere924@gmail.com,ACC2825989011,krishna190@pay,Chennai,Tamil Nadu,Wallet,MacBook,Chrome,5066,60792,10,2024-12-20,592
USR0038,Irya Pathak,Female,26,Accountant,195001,5776617787,irya.pathak582@gmail.com,ACC7852415525,irya982@pay,Jaipur,Rajasthan,Net Banking,Tablet,Safari,7304,138776,12,2025-04-20,471
USR0039,Vyanjana Sawhney,Female,46,Business,217073,8152715577,vyanjana.sawhney870@gmail.com,ACC8033702319,vyanjana794@pay,Mumbai,Maharashtra,Wallet,MacBook,Firefox,2749,52231,9,2025-09-15,323
USR0040,Pranav Hora,Female,33,Business,108040,9278629529,pranav.hora924@gmail.com,ACC3319936135,pranav151@pay,Pune,Maharashtra,Debit Card,iPhone,Safari,6184,55656,13,2023-05-19,1173
USR0041,Ikbal Shankar,Male,44,Lawyer,106738,6434318198,ikbal.shankar487@gmail.com,ACC2785736751,ikbal221@pay,Jaipur,Rajasthan,Net Banking,MacBook,Chrome,7518,127806,22,2024-09-19,684
USR0042,Ekantika Kadakia,Male,40,Business,217518,4295041014,ekantika.kadakia883@gmail.com,ACC8884394611,ekantika561@pay,Kolkata,West Bengal,Wallet,Tablet,Firefox,4499,53988,15,2020-03-01,2347
USR0043,Lavanya Dyal,Female,49,Student,121936,9008450955,lavanya.dyal694@gmail.com,ACC1116402431,lavanya668@pay,Pune,Maharashtra,Net Banking,iPhone,Safari,1988,11928,15,2020-09-18,2146
USR0044,Ekantika Sahni,Female,38,Teacher,139196,8767662694,ekantika.sahni355@gmail.com,ACC6923301988,ekantika780@pay,Pune,Maharashtra,Net Banking,Windows Laptop,Chrome,4352,21760,8,2022-03-27,1591
USR0045,Ekaraj Rana,Female,32,Software Engineer,224795,8011739140,ekaraj.rana782@gmail.com,ACC2062073697,ekaraj869@pay,Chennai,Tamil Nadu,UPI,Tablet,Firefox,2454,22086,22,2023-05-02,1190
USR0046,Manya Kibe,Male,54,Teacher,141905,5119038611,manya.kibe795@gmail.com,ACC2584392711,manya630@pay,Delhi,Delhi,Wallet,Android,Firefox,3048,24384,7,2025-12-17,230
USR0047,Daniel Dalal,Female,54,Lawyer,123980,5708930511,daniel.dalal87@gmail.com,ACC2043030161,daniel723@pay,Mumbai,Maharashtra,Credit Card,Tablet,Chrome,7022,42132,18,2025-10-19,289
USR0048,Yachana Murty,Female,60,Government Employee,38076,7202036530,yachana.murty673@gmail.com,ACC2465576748,yachana879@pay,Jaipur,Rajasthan,Net Banking,MacBook,Chrome,4051,64816,21,2021-02-03,2008
USR0049,Balendra Bakshi,Male,45,Doctor,212360,2181550010,balendra.bakshi998@gmail.com,ACC8088660633,balendra640@pay,Jaipur,Rajasthan,Wallet,MacBook,Safari,4068,52884,17,2021-09-05,1794
USR0050,Shivansh Manda,Male,23,Business,138175,3248759298,shivansh.manda778@gmail.com,ACC6922713963,shivansh39@pay,Mumbai,Maharashtra,Net Banking,Windows Laptop,Firefox,4494,49434,18,2024-04-02,854
USR0051,Aarini Dhaliwal,Female,39,Business,176278,0176020694,aarini.dhaliwal579@gmail.com,ACC9633533290,aarini980@pay,Delhi,Delhi,Debit Card,Android,Firefox,6398,115164,22,2024-02-11,905
USR0052,Radha Zachariah,Male,62,Accountant,189319,4912193272,radha.zachariah468@gmail.com,ACC4405620755,radha105@pay,Ahmedabad,Gujarat,Credit Card,iPhone,Safari,6167,74004,16,2020-09-20,2144
USR0053,Yashoda Sani,Female,48,Designer,159177,3253047278,yashoda.sani445@gmail.com,ACC7658867789,yashoda370@pay,Pune,Maharashtra,Net Banking,Windows Laptop,Edge,2559,30708,10,2020-06-13,2243
USR0054,Yoshita Bath,Male,38,Software Engineer,214741,5192022772,yoshita.bath983@gmail.com,ACC1795212538,yoshita231@pay,Jaipur,Rajasthan,Net Banking,Windows Laptop,Edge,1323,14553,16,2020-11-04,2099
USR0055,Lipika Pall,Male,41,Doctor,99237,4614060616,lipika.pall735@gmail.com,ACC3294092753,lipika290@pay,Chennai,Tamil Nadu,UPI,Android,Edge,6213,55917,22,2024-07-15,750
USR0056,Advaith Acharya,Male,18,Freelancer,94537,3808927382,advaith.acharya500@gmail.com,ACC7186766399,advaith198@pay,Ahmedabad,Gujarat,UPI,Windows Laptop,Safari,1434,10038,19,2019-01-05,2768
USR0057,Theodore Roy,Female,22,Freelancer,185005,5965803853,theodore.roy165@gmail.com,ACC2304963614,theodore264@pay,Chennai,Tamil Nadu,UPI,Tablet,Safari,5466,65592,19,2020-02-01,2376
USR0058,Libni Prashad,Female,46,Business,245487,5858134773,libni.prashad449@gmail.com,ACC3667292043,libni634@pay,Kochi,Kerala,UPI,iPhone,Firefox,2667,18669,12,2018-12-11,2793
USR0059,Jairaj Pandit,Male,29,Designer,39677,0327896556,jairaj.pandit12@gmail.com,ACC7049536909,jairaj715@pay,Hyderabad,Telangana,Wallet,MacBook,Edge,767,9204,16,2021-03-18,1965
USR0060,Chasmum Ahuja,Female,62,Accountant,38659,1729056656,chasmum.ahuja956@gmail.com,ACC6144594354,chasmum127@pay,Mumbai,Maharashtra,Wallet,iPhone,Firefox,7941,103233,11,2021-11-12,1726
USR0061,Atharv Mand,Male,21,Doctor,227782,0634484611,atharv.mand619@gmail.com,ACC6534540349,atharv137@pay,Delhi,Delhi,Net Banking,Windows Laptop,Safari,2730,54600,21,2025-12-12,235
USR0062,Vedika Goda,Male,56,Student,133253,1198458856,vedika.goda628@gmail.com,ACC2075321966,vedika103@pay,Pune,Maharashtra,Debit Card,Tablet,Chrome,6764,87932,8,2022-04-19,1568
USR0063,Yashasvi Kohli,Male,48,Designer,190789,7603778175,yashasvi.kohli948@gmail.com,ACC2194673401,yashasvi609@pay,Ahmedabad,Gujarat,Net Banking,MacBook,Chrome,4350,69600,20,2022-07-29,1467
USR0064,Unni Singh,Female,38,Software Engineer,244849,6936376061,unni.singh347@gmail.com,ACC7422990551,unni688@pay,Hyderabad,Telangana,Net Banking,Tablet,Chrome,4225,29575,17,2019-09-13,2517
USR0065,Nikita Anne,Female,38,Software Engineer,222518,7685101133,nikita.anne895@gmail.com,ACC5243939720,nikita683@pay,Kolkata,West Bengal,Wallet,MacBook,Safari,944,10384,18,2020-09-05,2159
USR0066,Kavya Rai,Female,58,Accountant,219226,0269622605,kavya.rai218@gmail.com,ACC6532043071,kavya911@pay,Chennai,Tamil Nadu,Net Banking,Android,Chrome,5661,67932,12,2021-09-17,1782
USR0067,Bhavani Bhatti,Female,53,Student,164769,2244159944,bhavani.bhatti105@gmail.com,ACC5782279101,bhavani979@pay,Kolkata,West Bengal,UPI,iPhone,Safari,6370,89180,15,2020-12-01,2072
USR0068,Madhav Kata,Female,48,Accountant,83892,7256857607,madhav.kata574@gmail.com,ACC5916199809,madhav205@pay,Ahmedabad,Gujarat,Wallet,Tablet,Firefox,7578,53046,15,2023-12-11,967
USR0069,Dhriti Johal,Female,39,Designer,90037,8663550009,dhriti.johal299@gmail.com,ACC8413332538,dhriti867@pay,Chennai,Tamil Nadu,Wallet,Tablet,Safari,7588,68292,21,2023-11-05,1003
USR0070,Ishita Nagy,Female,40,Government Employee,164681,8817281910,ishita.nagy396@gmail.com,ACC3995732958,ishita595@pay,Jaipur,Rajasthan,Net Banking,iPhone,Safari,857,12855,22,2020-02-05,2372
USR0071,Farhan Badami,Female,42,Doctor,149847,8131386293,farhan.badami139@gmail.com,ACC7829772942,farhan900@pay,Chennai,Tamil Nadu,UPI,MacBook,Chrome,4808,91352,7,2024-12-15,597
USR0072,Harita Ganesan,Male,44,Doctor,39615,8400704678,harita.ganesan810@gmail.com,ACC9457665185,harita356@pay,Ahmedabad,Gujarat,Wallet,MacBook,Chrome,7477,112155,19,2023-09-29,1040
USR0073,Advika Gaba,Female,58,Accountant,248689,2845931225,advika.gaba46@gmail.com,ACC3651968205,advika250@pay,Jaipur,Rajasthan,Credit Card,iPhone,Chrome,4055,32440,10,2024-07-16,749
USR0074,Kiaan Shanker,Female,28,Business,27588,8732759825,kiaan.shanker342@gmail.com,ACC4419410162,kiaan310@pay,Chennai,Tamil Nadu,Credit Card,Windows Laptop,Safari,1692,20304,20,2023-08-18,1082
USR0075,Yashawini Shetty,Male,28,Doctor,40701,2537669615,yashawini.shetty901@gmail.com,ACC3934040683,yashawini519@pay,Kochi,Kerala,Wallet,iPhone,Firefox,4277,55601,21,2021-06-01,1890
USR0076,Hiral Verma,Female,60,Student,230929,0935734532,hiral.verma932@gmail.com,ACC3347621138,hiral85@pay,Ahmedabad,Gujarat,Net Banking,Windows Laptop,Edge,5734,103212,15,2024-03-29,858
USR0077,Sai Bassi,Female,37,Teacher,120845,7205157672,sai.bassi119@gmail.com,ACC6313758032,sai595@pay,Ahmedabad,Gujarat,Credit Card,Tablet,Edge,6228,87192,7,2025-10-11,297
USR0078,Chandresh Lal,Female,35,Student,168354,5109749457,chandresh.lal942@gmail.com,ACC4431078106,chandresh631@pay,Chennai,Tamil Nadu,Credit Card,iPhone,Firefox,5586,72618,11,2022-09-28,1406
USR0079,Noah Dara,Male,58,Student,100984,8646312481,noah.dara44@gmail.com,ACC7784217828,noah759@pay,Ahmedabad,Gujarat,Debit Card,Android,Edge,3176,57168,12,2020-07-23,2203
USR0080,Amol Vig,Male,26,Designer,249758,6799324422,amol.vig553@gmail.com,ACC6001680218,amol945@pay,Pune,Maharashtra,Net Banking,Windows Laptop,Edge,7088,56704,21,2026-07-30,5
USR0081,Yamini Dani,Male,27,Teacher,245480,2633598173,yamini.dani876@gmail.com,ACC2570991899,yamini819@pay,Kolkata,West Bengal,Net Banking,Android,Edge,4895,39160,21,2026-07-05,30
USR0082,Xiti Singh,Female,61,Business,173238,2432279472,xiti.singh852@gmail.com,ACC2595467139,xiti701@pay,Kolkata,West Bengal,Debit Card,MacBook,Chrome,5575,83625,14,2025-10-08,300
USR0083,Ekansh Sarin,Male,58,Accountant,203783,4054653106,ekansh.sarin674@gmail.com,ACC2753617371,ekansh153@pay,Delhi,Delhi,UPI,Android,Edge,4535,36280,10,2024-08-29,705
USR0084,Yadavi Ravi,Male,52,Doctor,121881,0074534888,yadavi.ravi389@gmail.com,ACC9381721143,yadavi43@pay,Ahmedabad,Gujarat,Credit Card,iPhone,Safari,4142,49704,18,2021-09-25,1774
USR0085,Daksha Nayak,Male,61,Government Employee,162728,6932322447,daksha.nayak72@gmail.com,ACC7004964045,daksha204@pay,Pune,Maharashtra,UPI,MacBook,Chrome,5929,65219,7,2026-01-07,209
USR0086,Rehaan Grover,Male,39,Teacher,53010,2756366478,rehaan.grover220@gmail.com,ACC4735313433,rehaan346@pay,Kochi,Kerala,Debit Card,Tablet,Chrome,2771,24939,11,2020-03-24,2324
USR0087,Madhav Sha,Female,29,Software Engineer,193292,4945527814,madhav.sha144@gmail.com,ACC5358791907,madhav818@pay,Chennai,Tamil Nadu,Debit Card,Tablet,Edge,629,6290,15,2020-06-28,2228
USR0088,Qasim Bhat,Male,26,Lawyer,157910,1486501244,qasim.bhat773@gmail.com,ACC5567946981,qasim469@pay,Bangalore,Karnataka,Credit Card,Tablet,Chrome,4202,50424,8,2020-10-22,2112
USR0089,Upasna Date,Female,47,Student,35945,1803872594,upasna.date877@gmail.com,ACC7019900273,upasna712@pay,Ahmedabad,Gujarat,UPI,MacBook,Safari,1102,7714,17,2023-04-17,1205
USR0090,Aahana Master,Male,22,Doctor,92093,5728357171,aahana.master658@gmail.com,ACC8353640266,aahana400@pay,Kochi,Kerala,Wallet,Tablet,Edge,4216,75888,10,2021-06-03,1888
USR0091,Chandran Gole,Male,59,Designer,208963,2099540580,chandran.gole450@gmail.com,ACC6276339732,chandran357@pay,Mumbai,Maharashtra,Net Banking,MacBook,Safari,6476,51808,17,2021-09-17,1782
USR0092,Kabir Sekhon,Female,38,Business,118120,5810920112,kabir.sekhon713@gmail.com,ACC9259157845,kabir78@pay,Hyderabad,Telangana,UPI,Android,Chrome,4037,32296,18,2025-03-07,515
USR0093,Forum Pandey,Male,53,Student,173738,9308970181,forum.pandey585@gmail.com,ACC5819946657,forum372@pay,Jaipur,Rajasthan,Net Banking,Android,Edge,5418,75852,18,2024-05-14,812
USR0094,Jagrati Issac,Male,54,Designer,75768,3006969206,jagrati.issac682@gmail.com,ACC3070987704,jagrati877@pay,Hyderabad,Telangana,UPI,Windows Laptop,Edge,1441,18733,14,2023-10-05,1034
USR0095,Eshana Randhawa,Female,53,Freelancer,180844,8498916273,eshana.randhawa36@gmail.com,ACC8273403366,eshana39@pay,Jaipur,Rajasthan,Debit Card,Windows Laptop,Edge,3283,52528,7,2024-03-19,868
USR0096,Megha Raval,Male,27,Freelancer,192318,5026497067,megha.raval81@gmail.com,ACC1131671246,megha774@pay,Kolkata,West Bengal,Wallet,iPhone,Safari,3939,74841,17,2020-04-02,2315
USR0097,Krisha Kuruvilla,Male,41,Business,209162,2374178529,krisha.kuruvilla805@gmail.com,ACC3560761628,krisha914@pay,Pune,Maharashtra,UPI,iPhone,Firefox,6680,40080,9,2021-04-29,1923
USR0098,Gautam Apte,Female,46,Lawyer,147313,4163931732,gautam.apte462@gmail.com,ACC7073872915,gautam230@pay,Kochi,Kerala,Wallet,Android,Edge,4021,32168,16,2022-12-19,1324
USR0099,Zansi Patla,Female,51,Business,31905,3449675059,zansi.patla414@gmail.com,ACC1235286733,zansi219@pay,Mumbai,Maharashtra,Credit Card,iPhone,Firefox,6760,87880,16,2021-09-04,1795
USR0100,Yatan Chaudhuri,Female,25,Student,150386,4455594680,yatan.chaudhuri189@gmail.com,ACC5849815676,yatan555@pay,Kolkata,West Bengal,Debit Card,Tablet,Edge,1090,18530,8,2020-06-19,2237
USR0101,Oliver Singhal,Female,19,Accountant,40411,1197349438,oliver.singhal599@gmail.com,ACC8044354825,oliver306@pay,Pune,Maharashtra,UPI,MacBook,Chrome,3160,31600,21,2025-05-08,453
USR0102,Timothy Sekhon,Female,23,Lawyer,241376,6991969333,timothy.sekhon259@gmail.com,ACC5632753983,timothy901@pay,Bangalore,Karnataka,Credit Card,Windows Laptop,Firefox,3228,32280,9,2024-01-22,925
USR0103,Teerth Reddy,Male,51,Designer,70830,5860636197,teerth.reddy369@gmail.com,ACC4500557310,teerth251@pay,Pune,Maharashtra,UPI,iPhone,Edge,2116,21160,11,2019-04-20,2663
USR0104,Jack D’Alia,Male,29,Accountant,141622,4554812245,jack.d’alia788@gmail.com,ACC7783763790,jack707@pay,Kochi,Kerala,Wallet,Tablet,Edge,7579,113685,11,2025-10-01,307
USR0105,Arin Gupta,Female,22,Accountant,135922,7605261010,arin.gupta825@gmail.com,ACC5536224717,arin529@pay,Delhi,Delhi,UPI,Windows Laptop,Safari,4202,25212,8,2022-10-24,1380
USR0106,Shivani Ben,Female,36,Software Engineer,188995,4805633547,shivani.ben639@gmail.com,ACC6946306973,shivani604@pay,Bangalore,Karnataka,Wallet,Android,Safari,7946,87406,17,2021-02-09,2002
USR0107,Chakrika Bora,Female,50,Doctor,36219,5943696363,chakrika.bora115@gmail.com,ACC8891474909,chakrika741@pay,Ahmedabad,Gujarat,UPI,Tablet,Firefox,820,9840,21,2024-03-23,864
USR0108,Arin Shan,Female,51,Designer,179856,7230771274,arin.shan382@gmail.com,ACC6509985983,arin428@pay,Hyderabad,Telangana,Credit Card,Tablet,Chrome,6965,104475,9,2020-02-08,2369
USR0109,Laksh Thaman,Female,24,Designer,197833,0745201133,laksh.thaman300@gmail.com,ACC5940815822,laksh93@pay,Kolkata,West Bengal,Wallet,iPhone,Edge,3041,51697,11,2018-12-05,2799
USR0110,Nimrat Ravi,Male,37,Designer,118744,2591182498,nimrat.ravi842@gmail.com,ACC9991312028,nimrat696@pay,Pune,Maharashtra,Net Banking,Tablet,Edge,649,10384,16,2020-02-02,2375
USR0111,Henry Gole,Male,31,Government Employee,220843,5697712436,henry.gole206@gmail.com,ACC1590838716,henry89@pay,Ahmedabad,Gujarat,Credit Card,Android,Chrome,5922,88830,11,2019-10-17,2483
USR0112,Tanvi Dave,Female,27,Doctor,67407,2891224607,tanvi.dave838@gmail.com,ACC4876877928,tanvi748@pay,Kochi,Kerala,Net Banking,Android,Safari,3484,41808,21,2021-12-13,1695
USR0113,Hiral Chauhan,Female,65,Accountant,81342,1741933308,hiral.chauhan254@gmail.com,ACC4586784711,hiral386@pay,Jaipur,Rajasthan,Wallet,MacBook,Safari,6803,95242,19,2019-01-28,2745
USR0114,Anvi Barad,Female,28,Teacher,230045,2179389432,anvi.barad151@gmail.com,ACC9044482007,anvi63@pay,Kochi,Kerala,Net Banking,Windows Laptop,Chrome,6327,50616,16,2021-07-09,1852
USR0115,Sneha Vala,Male,28,Business,137786,7792340635,sneha.vala160@gmail.com,ACC8864285771,sneha103@pay,Jaipur,Rajasthan,Debit Card,MacBook,Edge,718,12924,8,2025-11-10,267
USR0116,Frederick Pall,Female,50,Government Employee,81807,5981234872,frederick.pall93@gmail.com,ACC2610237679,frederick38@pay,Kolkata,West Bengal,Credit Card,Android,Edge,6982,62838,11,2020-07-22,2204
USR0117,Hemani Upadhyay,Male,36,Accountant,202471,8535805526,hemani.upadhyay787@gmail.com,ACC8325222092,hemani469@pay,Hyderabad,Telangana,Wallet,Android,Chrome,655,8515,13,2023-08-21,1079
USR0118,Adweta Ramanathan,Male,53,Freelancer,158352,6840011003,adweta.ramanathan123@gmail.com,ACC8628603366,adweta253@pay,Kolkata,West Bengal,Credit Card,Android,Chrome,2453,44154,21,2020-11-04,2099
USR0119,Lajita Kant,Male,25,Accountant,176431,5635540655,lajita.kant26@gmail.com,ACC3469810046,lajita745@pay,Jaipur,Rajasthan,Debit Card,Windows Laptop,Safari,512,8192,14,2024-12-21,591
USR0120,Amara Halder,Female,29,Software Engineer,157228,3709372817,amara.halder79@gmail.com,ACC5382302465,amara904@pay,Pune,Maharashtra,Net Banking,Android,Safari,3558,46254,7,2023-03-23,1230
USR0121,Jagat Sabharwal,Female,22,Government Employee,83209,6465634290,jagat.sabharwal800@gmail.com,ACC8544878538,jagat146@pay,Bangalore,Karnataka,UPI,Windows Laptop,Edge,7164,71640,21,2021-05-28,1894
USR0122,Aditya Chhabra,Female,58,Doctor,232729,4163162287,aditya.chhabra74@gmail.com,ACC9347720574,aditya47@pay,Hyderabad,Telangana,Credit Card,iPhone,Chrome,6980,76780,8,2025-01-08,573
USR0123,Vasudha Hayer,Female,37,Designer,124392,6262613206,vasudha.hayer494@gmail.com,ACC2087974350,vasudha781@pay,Jaipur,Rajasthan,Debit Card,Windows Laptop,Edge,7562,45372,17,2021-10-08,1761
USR0124,Peter Bora,Female,25,Government Employee,134544,5519319432,peter.bora771@gmail.com,ACC9403012103,peter357@pay,Kolkata,West Bengal,Debit Card,MacBook,Safari,3509,45617,9,2019-02-08,2734
USR0125,Advaith Kannan,Female,23,Lawyer,177929,6378402104,advaith.kannan568@gmail.com,ACC6556684476,advaith115@pay,Hyderabad,Telangana,UPI,Windows Laptop,Edge,3010,57190,20,2019-01-28,2745
USR0126,Darsh Bhatt,Male,62,Accountant,112155,5280647745,darsh.bhatt53@gmail.com,ACC9210290540,darsh639@pay,Ahmedabad,Gujarat,Net Banking,Windows Laptop,Chrome,1114,18938,18,2023-06-14,1147
USR0127,Raghav Kannan,Male,19,Doctor,242473,2002932040,raghav.kannan704@gmail.com,ACC8650676663,raghav45@pay,Kochi,Kerala,Debit Card,Android,Firefox,6877,110032,18,2018-09-05,2890
